DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/unittest/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1718910845.202311
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/admindocs/utils.py first seen with mtime 1718910844.1714709
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/authtoken/__init__.py first seen with mtime 1718910847.0428505
DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/select.cpython-313-darwin.so first seen with mtime 1717606954.0
DEBUG 2024-06-21 16:44:21,427 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/fields/related.py first seen with mtime 1718910845.2150803
DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/_abc.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,427 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_scproxy.cpython-313-darwin.so first seen with mtime 1717606950.0
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/asgiref/__init__.py first seen with mtime 1718910843.6681058
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/staticfiles/utils.py first seen with mtime 1718910845.136197
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/views/i18n.py first seen with mtime 1718910845.2950954
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework_simplejwt/token_blacklist/__init__.py first seen with mtime 1718912212.0206935
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/models/options.py first seen with mtime 1718910845.2093408
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/widgets.py first seen with mtime 1718910845.2269628
DEBUG 2024-06-21 16:44:21,428 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/contrib/admin/sites.py first seen with mtime 1718910843.901539
DEBUG 2024-06-21 16:44:21,428 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/platform.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,428 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pathlib/__init__.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,428 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/lib-dynload/_random.cpython-313-darwin.so first seen with mtime 1717606950.0
DEBUG 2024-06-21 16:44:21,428 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/hmac.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,428 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/asyncio/transports.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework_simplejwt/exceptions.py first seen with mtime 1718912211.9838076
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/db/backends/sqlite3/__init__.py first seen with mtime 1718910845.1936648
DEBUG 2024-06-21 16:44:21,429 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/pprint.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework/__init__.py first seen with mtime 1718910847.0270474
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/checks/messages.py first seen with mtime 1718910845.1474142
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/repuestos/repuestos/settings.py first seen with mtime 1719002654.4827175
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/sqlparse/__init__.py first seen with mtime 1718910843.6027915
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/rest_framework_simplejwt/utils.py first seen with mtime 1718912211.9879155
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/core/handlers/base.py first seen with mtime 1718910845.1570528
DEBUG 2024-06-21 16:44:21,429 autoreload File /Library/Frameworks/Python.framework/Versions/3.13/lib/python3.13/email/contentmanager.py first seen with mtime 1717606354.0
DEBUG 2024-06-21 16:44:21,429 autoreload File /Users/rodrigofaundezvidal/integracion/integraRepuestos/entorno/lib/python3.13/site-packages/django/forms/utils.py first seen with mtime 1718910845.2264113
